0	89.3998 null 1.9000 0.0000 1.9000 6.0178 0.4177
1	89.3998 0.0558 2.1717 0.0000 1.9000 4.9187 0.4478
2	89.5443 0.0558 2.3896 0.0000 1.9010 4.0351 0.4720
3	89.7953 0.0558 2.5643 0.0000 1.9112 3.3243 0.4914
4	90.1237 0.0558 2.7044 0.0000 1.9291 2.7520 0.5071
5	90.5067 0.0558 2.8169 0.0000 1.9521 2.2909 0.5197
6	90.9270 0.0558 2.9072 0.0000 1.9779 1.9188 0.5299
7	91.3711 0.0558 2.9796 0.0000 2.0045 1.6182 0.5381
8	91.8289 0.0558 3.0379 0.0000 2.0309 1.3749 0.5448
9	92.2927 0.0558 3.0847 0.0000 2.0561 1.1776 0.5502
10	92.7569 0.0558 3.1223 0.0000 2.0796 1.0172 0.5546
11	93.2175 0.0558 3.1526 0.0000 2.1014 0.8865 0.5581
12	93.6718 0.0558 3.1770 0.0000 2.1211 0.7797 0.5611
13	94.1177 0.0558 3.1967 0.0000 2.1390 0.6921 0.5635
14	94.5543 0.0558 3.2126 0.0000 2.1550 0.6201 0.5654
15	94.9809 0.0558 3.2253 0.0000 2.1694 0.5605 0.5671
16	95.3974 0.0558 3.2356 0.0000 2.1822 0.5112 0.5684
17	95.8037 0.0558 3.2439 0.0000 2.1937 0.4700 0.5695
18	96.2001 0.0558 3.2506 0.0000 2.2040 0.4356 0.5705
19	96.5872 0.0558 3.2559 0.0000 2.2133 0.4067 0.5713
20	96.9653 0.0558 3.2601 0.0000 2.2217 0.3823 0.5719
21	97.3350 0.0558 3.2635 0.0000 2.2293 0.3615 0.5725
22	97.6969 0.0558 3.2661 0.0000 2.2362 0.3438 0.5730
23	98.0515 0.0558 3.2681 0.0000 2.2426 0.3286 0.5734
24	98.3995 0.0558 3.2696 0.0000 2.2485 0.3156 0.5738
25	98.7412 0.0558 3.2707 0.0000 2.2539 0.3042 0.5741
26	99.0772 0.0558 3.2715 0.0000 2.2590 0.2944 0.5743
27	99.4080 0.0558 3.2720 0.0000 2.2637 0.2857 0.5746
28	99.7339 0.0558 3.2722 0.0000 2.2682 0.2782 0.5748
29	100.0554 0.0558 3.2723 0.0000 2.2725 0.2715 0.5750
30	100.3728 0.0558 3.2721 0.0000 2.2765 0.2655 0.5751
31	100.6864 0.0558 3.2718 0.0000 2.2804 0.2602 0.5753
32	100.9966 0.0558 3.2714 0.0000 2.2841 0.2555 0.5754
33	101.3035 0.0558 3.2709 0.0000 2.2877 0.2512 0.5755
34	101.6075 0.0558 3.2703 0.0000 2.2911 0.2473 0.5756
35	101.9086 0.0558 3.2696 0.0000 2.2945 0.2439 0.5757
36	102.2072 0.0558 3.2688 0.0000 2.2977 0.2407 0.5758
37	102.5033 0.0558 3.2680 0.0000 2.3009 0.2378 0.5759
38	102.7972 0.0558 3.2671 0.0000 2.3040 0.2351 0.5760
39	103.0889 0.0558 3.2662 0.0000 2.3070 0.2326 0.5760
40	103.3786 0.0558 3.2652 0.0000 2.3099 0.2303 0.5761
41	103.6664 0.0558 3.2642 0.0000 2.3128 0.2282 0.5761
42	103.9523 0.0558 3.2632 0.0000 2.3157 0.2263 0.5762
43	104.2365 0.0558 3.2621 0.0000 2.3185 0.2244 0.5763
44	104.5191 0.0558 3.2611 0.0000 2.3212 0.2227 0.5763
45	104.8000 0.0558 3.2600 0.0000 2.3239 0.2210 0.5763
46	105.0794 0.0558 3.2589 0.0000 2.3266 0.2195 0.5764
47	105.3573 0.0558 3.2577 0.0000 2.3292 0.2180 0.5764
48	105.6338 0.0558 3.2566 0.0000 2.3318 0.2166 0.5765
49	105.9088 0.0558 3.2555 0.0000 2.3343 0.2153 0.5765
50	106.1825 0.0558 3.2543 0.0000 2.3368 0.2140 0.5765
51	106.4549 0.0558 3.2531 0.0000 2.3393 0.2128 0.5766
52	106.7260 0.0558 3.2520 0.0000 2.3418 0.2116 0.5766
53	106.9959 0.0558 3.2508 0.0000 2.3442 0.2105 0.5766
54	107.2645 0.0558 3.2496 0.0000 2.3466 0.2094 0.5767
55	107.5319 0.0558 3.2484 0.0000 2.3490 0.2083 0.5767
56	107.7981 0.0558 3.2472 0.0000 2.3513 0.2074 0.5767
57	108.0631 0.0558 3.2459 0.0000 2.3536 0.2068 0.5767
58	108.3269 0.0558 3.2445 0.0000 2.3559 0.2067 0.5767
59	108.5895 0.0558 3.2430 0.0000 2.3582 0.2072 0.5767
60	108.8508 0.0558 3.2413 0.0000 2.3604 0.2082 0.5767
61	109.1107 0.0558 3.2394 0.0000 2.3626 0.2099 0.5766
62	109.3693 0.0558 3.2375 0.0000 2.3649 0.2121 0.5766
63	109.6264 0.0558 3.2354 0.0000 2.3670 0.2149 0.5765
64	109.8820 0.0558 3.2331 0.0000 2.3692 0.2183 0.5764
65	110.1361 0.0558 3.2308 0.0000 2.3714 0.2221 0.5763
66	110.3887 0.0558 3.2283 0.0000 2.3736 0.2264 0.5762
67	110.6397 0.0558 3.2258 0.0000 2.3757 0.2311 0.5761
68	110.8892 0.0558 3.2231 0.0000 2.3779 0.2362 0.5759
69	111.1370 0.0558 3.2204 0.0000 2.3801 0.2416 0.5758
70	111.3832 0.0558 3.2176 0.0000 2.3823 0.2473 0.5756
71	111.6278 0.0558 3.2148 0.0000 2.3844 0.2533 0.5755
72	111.8708 0.0558 3.2119 0.0000 2.3867 0.2595 0.5753
73	112.1121 0.0558 3.2090 0.0000 2.3889 0.2658 0.5751
74	112.3518 0.0558 3.2060 0.0000 2.3911 0.2724 0.5749
75	112.5899 0.0558 3.2030 0.0000 2.3934 0.2791 0.5748
76	112.8264 0.0558 3.2000 0.0000 2.3957 0.2859 0.5746
77	113.0612 0.0558 3.1970 0.0000 2.3980 0.2928 0.5744
78	113.2944 0.0558 3.1939 0.0000 2.4004 0.2998 0.5742
79	113.5259 0.0558 3.1909 0.0000 2.4028 0.3069 0.5740
80	113.7559 0.0558 3.1878 0.0000 2.4052 0.3140 0.5738
81	113.9842 0.0558 3.1848 0.0000 2.4076 0.3212 0.5736
82	114.2108 0.0558 3.1817 0.0000 2.4101 0.3284 0.5734
83	114.4359 0.0558 3.1786 0.0000 2.4126 0.3356 0.5732
84	114.6594 0.0558 3.1756 0.0000 2.4152 0.3428 0.5730
85	114.8812 0.0558 3.1725 0.0000 2.4177 0.3500 0.5728
86	115.1014 0.0558 3.1695 0.0000 2.4203 0.3571 0.5726
87	115.3200 0.0558 3.1664 0.0000 2.4230 0.3643 0.5724
88	115.5370 0.0558 3.1634 0.0000 2.4256 0.3715 0.5722
89	115.7524 0.0558 3.1604 0.0000 2.4283 0.3786 0.5720
90	115.9661 0.0558 3.1574 0.0000 2.4311 0.3857 0.5718
91	116.1783 0.0558 3.1544 0.0000 2.4338 0.3928 0.5716
92	116.3888 0.0558 3.1514 0.0000 2.4366 0.3998 0.5715
93	116.5977 0.0558 3.1485 0.0000 2.4394 0.4068 0.5713
94	116.8050 0.0558 3.1455 0.0000 2.4423 0.4137 0.5711
95	117.0107 0.0558 3.1426 0.0000 2.4451 0.4206 0.5709
96	117.2147 0.0558 3.1397 0.0000 2.4480 0.4275 0.5707
97	117.4172 0.0558 3.1368 0.0000 2.4509 0.4343 0.5705
98	117.6180 0.0558 3.1340 0.0000 2.4539 0.4410 0.5703
99	117.8172 0.0558 3.1311 0.0000 2.4568 0.4477 0.5701
100	118.0148 0.0558 3.1283 0.0000 2.4598 0.4544 0.5700
101	118.2107 0.0558 3.1255 0.0000 2.4628 0.4610 0.5698
102	118.4051 0.0558 3.1227 0.0000 2.4658 0.4675 0.5696
103	118.5978 0.0558 3.1199 0.0000 2.4689 0.4740 0.5694
104	118.7889 0.0558 3.1172 0.0000 2.4719 0.4804 0.5692
105	118.9784 0.0558 3.1144 0.0000 2.4750 0.4868 0.5691
106	119.1662 0.0558 3.1117 0.0000 2.4781 0.4931 0.5689
107	119.3524 0.0558 3.1090 0.0000 2.4812 0.4994 0.5687
108	119.5370 0.0558 3.1064 0.0000 2.4843 0.5056 0.5686
109	119.7200 0.0558 3.1037 0.0000 2.4874 0.5117 0.5684
110	119.9014 0.0558 3.1011 0.0000 2.4906 0.5178 0.5682
111	120.0811 0.0558 3.0985 0.0000 2.4937 0.5238 0.5681
112	120.2592 0.0558 3.0959 0.0000 2.4969 0.5298 0.5679
113	120.4357 0.0558 3.0933 0.0000 2.5001 0.5357 0.5677
114	120.6106 0.0558 3.0907 0.0000 2.5033 0.5416 0.5676
115	120.7839 0.0558 3.0882 0.0000 2.5065 0.5474 0.5674
116	120.9555 0.0558 3.0857 0.0000 2.5097 0.5531 0.5673
